,Embedding,Method,Time,Dimension,Window,Word count,Sampling,Cross-sentence,Epochs,Dataset,Out of vocabulary,Low bin lower bound,Low bin upper bound,Mid bin lower bound,Mid bin upper bound,High bin lower bound,High bin upper bound,Low bin score,Low bin pair count,Middle bin score,Middle bin pair count,High bin score,High bin pair count,Mixed bin score,Mixed bin pair count,General score
23,w2v,CBOW,2020-05-06 02:51:44.171405,300,2,1000000,hs,No,100,RG65,8,1,4,4,17,18,186,,5,-0.4642857142857144,7,0.7999999999999999,4,0.20731987344669917,49,0.21232611658995793
24,w2v,CBOW,2020-05-06 02:51:44.561939,300,2,1000000,hs,No,100,RW,1329,1,4,4,22,22,1004,,57,0.22866214738015003,77,0.45368783715600525,55,0.18675448906432066,1845,0.19096345890426253
25,w2v,CBOW,2020-05-06 02:51:44.874774,300,2,1000000,hs,No,100,SimLex-999,46,1,9,9,34,34,792,0.08967561563524487,91,0.07569476201001032,97,0.067095186180179,173,0.08507742625226769,638,0.07457810714271645
26,w2v,CBOW,2020-05-06 02:51:45.593343,300,2,1000000,hs,No,100,TR9856,1793,1,11,11,48,48,779,0.36826929574543193,106,0.44646458917348125,79,0.5136954225923713,144,0.09748825802943915,9527,0.10802916955196604
27,w2v,CBOW,2020-05-06 02:51:45.874917,300,2,1000000,hs,No,100,WS353,14,1,17,17,59,60,895,0.4947979915669274,29,0.2484636602905943,19,0.5040177881835884,26,0.4174414640099226,129,0.42235501045077223
28,w2v,CBOW,2020-05-06 02:53:31.436742,300,5,1000000,hs,No,100,MEN,106,1,7,7,29,29,1540,-0.04518727962856351,301,0.20049011107059855,230,0.37907646790642735,296,0.10427725904666,2173,0.11107833118266264
29,w2v,CBOW,2020-05-06 02:53:31.717943,300,5,1000000,hs,No,100,MTurk,102,1,10,10,37,37,586,-0.08669999622160203,23,-0.051533781123716,17,0.4723664342342028,27,0.16720766601447035,220,0.14565670769602615
30,w2v,CBOW,2020-05-06 02:53:31.983840,300,5,1000000,hs,No,100,RG65,8,1,4,4,17,18,186,,5,-0.07142857142857144,7,0.39999999999999997,4,0.17582241243639285,49,0.21360042482280328
31,w2v,CBOW,2020-05-06 02:53:32.374341,300,5,1000000,hs,No,100,RW,1329,1,4,4,22,22,1004,,57,0.27967316545316895,77,0.5556738037304348,55,0.15274007504935402,1845,0.1608496705015355
32,w2v,CBOW,2020-05-06 02:53:32.718013,300,5,1000000,hs,No,100,SimLex-999,46,1,9,9,34,34,792,0.1037136399115694,91,0.04667142292799281,97,0.010878515142209137,173,0.10836281761187343,638,0.07412664725088483
33,w2v,CBOW,2020-05-06 02:53:33.453869,300,5,1000000,hs,No,100,TR9856,1793,1,11,11,48,48,779,0.29742322206660304,106,0.473503336972832,79,0.4715951927070374,144,0.09056996234533729,9527,0.09900610068805071
34,w2v,CBOW,2020-05-06 02:53:33.719434,300,5,1000000,hs,No,100,WS353,14,1,17,17,59,60,895,0.47189413485037035,29,0.18437232742411594,19,0.6383997357793484,26,0.37415159012844723,129,0.3984075710301902
35,w2v,CBOW,2020-05-06 02:55:26.449865,300,10,1000000,hs,No,100,MEN,106,1,7,7,29,29,1540,-0.03531288441487285,301,0.23821501785961188,230,0.3568592454850013,296,0.08310574731416703,2173,0.09696438731985998
36,w2v,CBOW,2020-05-06 02:55:26.731050,300,10,1000000,hs,No,100,MTurk,102,1,10,10,37,37,586,-0.048784545978918924,23,0.06748471337629476,17,0.13587786892968345,27,0.1292554191055072,220,0.09950449658910442
37,w2v,CBOW,2020-05-06 02:55:26.996963,300,10,1000000,hs,No,100,RG65,8,1,4,4,17,18,186,,5,-0.28571428571428575,7,0.0,4,0.2140803041025698,49,0.21683013706811824
38,w2v,CBOW,2020-05-06 02:55:27.387461,300,10,1000000,hs,No,100,RW,1329,1,4,4,22,22,1004,,57,0.12411585466967409,77,0.3911686719372269,55,0.13754477334781282,1845,0.1389525667791659
39,w2v,CBOW,2020-05-06 02:55:27.715509,300,10,1000000,hs,No,100,SimLex-999,46,1,9,9,34,34,792,0.09388539437704287,91,-0.12575903563268392,97,0.025722757227705763,173,0.08221309772744748,638,0.04693625307427154
40,w2v,CBOW,2020-05-06 02:55:28.426038,300,10,1000000,hs,No,100,TR9856,1793,1,11,11,48,48,779,0.24676557111356978,106,0.47219868268083404,79,0.39115509075873234,144,0.08684526505192626,9527,0.09216908667431974
